# vertex_count	time
4	0.1688000000000011	
54	8.412400000000002	
104	22.222799999999992	
154	42.507200000000005	
204	71.49760000000008	
254	110.34199999999983	
304	145.86559999999997	
354	199.41200000000003	
404	243.79839999999976	
454	296.726399999999	
504	364.41800000000165	
554	431.2259999999992	
604	510.77120000000053	
654	585.0132000000009	
704	686.6096000000025	
754	734.3735999999999	
804	824.6304000000009	
854	882.8484000000032	
904	985.3787999999977	
954	1117.2823999999953	
1004	1163.9887999999964	
